[2018-11-08T13:41:45.993] [TRACE] default - [INFO] Connected to database!
[2018-11-08T13:41:46.181] [INFO] default - Commission change done!
[2018-11-08T13:41:46.185] [INFO] default - Bot -1236 (VGOcraft.com) got from OPSkins!
[2018-11-08T13:41:46.240] [INFO] default - All Items loaded. Total items loaded: 321
[2018-11-08T13:41:46.441] [INFO] default - CaseSchema loaded successfully! Total cases loaded: 6
[2018-11-08T13:41:51.475] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T13:42:08.338] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T13:44:41.565] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T13:46:56.063] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T13:47:47.202] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T13:53:05.031] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T13:56:04.202] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T13:58:52.589] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T14:03:40.470] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-08T14:03:55.807] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-08T14:22:11.752] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T14:32:29.980] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T14:37:00.719] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T14:38:18.018] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T14:45:13.326] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T14:52:54.678] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T15:15:54.481] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-08T15:16:15.267] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-08T15:16:31.369] [INFO] default - User 76561198355622694 loaded with 0 keys!
[2018-11-08T15:18:06.440] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T15:24:40.361] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T15:30:15.924] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T15:37:10.435] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T15:38:01.642] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T15:39:49.068] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T15:41:25.203] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T15:42:22.775] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T15:52:19.737] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:02:39.118] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:06:35.163] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:09:12.641] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:13:48.310] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:16:14.150] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:25:39.323] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:26:17.114] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:29:14.521] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:30:35.899] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:31:57.865] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:33:13.196] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:33:36.715] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:35:06.785] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:36:27.457] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:41:39.702] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:42:24.400] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:47:10.507] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:49:28.915] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:50:01.866] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:50:51.612] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:52:21.914] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:54:44.416] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:56:12.207] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:56:54.858] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:57:53.176] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T16:59:34.928] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T17:00:47.201] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T17:02:25.045] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T17:04:37.079] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T17:05:53.996] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T17:12:51.928] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T17:15:51.052] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T17:16:15.149] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T17:17:13.237] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T17:18:18.779] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T17:20:33.497] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T17:24:47.725] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T17:30:55.705] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T17:42:53.133] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T17:43:07.227] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T17:43:29.292] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T17:43:58.187] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T17:49:22.822] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T17:58:15.409] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T18:00:28.286] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T18:04:57.013] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T18:06:11.523] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T18:07:22.414] [INFO] default - User 76561198863884847 loaded with 0 keys!
[2018-11-08T18:08:17.383] [INFO] default - User 76561198863884847 loaded with 0 keys!
